lon,lat
-156.4791,67.2607
-117.5428333,35.7005
-117.548,35.697
-174.1571,52.038
-117.146,34.269
145.3201,18.959
-140.2296,60.0029
-152.1008,61.5255
-152.5537,60.0382
-155.3905,19.1846666666667
-146.8826,59.4149
-116.6415,33.9836667
-172.7565,50.5967
-155.427166666667,19.1756666666667
-117.5578333,35.7041667
-172.8914,50.6485
-152.1638,60.3919
-159.4153,55.4119
-104.0046687,31.51585216
-179.8939,-24.3869
-66.9011666666667,18.0638333333333
-68.8614,45.522
-155.417007446289,19.2588329315186
-66.8843,18.0005
-152.5004,60.1867
-150.768,61.9429
-89.656,36.5406666666667
-147.6667,61.2554
-154.2941,56.9312
-118.0622,37.9502
-118.0575,37.946
-140.6973,60.0585
-68.2215,19.2676666666667
-149.6986,61.0627
71.3233,36.4986
-122.117,49.1195
-151.7476,61.6939
-151.0728,62.3636
-148.9525,63.9266
-146.8913,61.1308
-159.8514,54.3086
-155.397003173828,19.244499206543
-152.9997,59.8349
-151.7781,62.1352
-147.3979,64.9776
-153.1551,59.7183
126.9979,3.0504
-177.425333333333,51.8783333333333
-162.0762,55.0832
-143.1727,60.3159
178.3697,51.7311
-27.8336,0.7195
-162.7596,55.0642
-155.417166666667,19.0456666666667
-117.8853333,36.2185
-104.341324,31.67281317
-66.978,17.9416666666667
-148.0692,61.3341
-66.9571666666667,17.9138333333333
-155.435501098633,19.125
-122.7195,38.7595
-147.9564,64.5951
-67.0098333333333,17.958
-67.0108333333333,17.9711666666667
-122.7768326,38.809166
-122.8108333,38.8305
139.1736,-2.0886
144.0576,12.2823
-176.0789,52.2338
-96.796,36.469
-150.9665,63.1137
-150.8862,59.8378
-153.0746,60.2797
-163.5725,53.5383
-156.4723,67.4368
-121.1193333,35.6741667
-151.1946,63.44
97.0042,1.8846
-166.8698,65.8105
-152.9444,59.5276
-102.0356564,31.94000244
-97.83933333,36.09266667
156.343,50.0931
-138.1385,60.2325
-121.8641,54.1674
125.4524,10.69
-149.6171,62.1486
-152.8609,60.0894
-122.739,38.7583333
-148.9333,62.3386
-178.134666666667,51.7665
-96.85633333,34.38533333
-155.498666666667,19.153
-142.7125,58.2538
-152.8999,60.0866
-145.0224,63.3216
-153.003,60.2325
127.1361,1.8253
-103.9901803,31.60816452
-122.7513351,38.7985001
